;Year;Month;vivienda;justicia;educación;empleo;medio ambiente;salud;jóvenes;ideología;economía;internacional;cultura;inseguridad ciudadana;social;servicios públicos e infraestructuras;corrupción;fuerzas armadas;tecnologia e investigación;terrorismo;otros
0;2000.0;9.0;0.0636094674556;0.0;0.0351331360947;0.0706360946746;0.0924556213018;0.0151627218935;0.0369822485207;0.0;0.187869822485;0.0;0.010724852071;0.010724852071;0.0225591715976;0.0347633136095;0.0399408284024;0.0;0.0299556213018;0.0;0.349482248521
1;2000.0;10.0;0.0;0.0324022346369;0.0072625698324;0.0446927374302;0.0793296089385;0.0960893854749;0.0374301675978;0.0;0.194972067039;0.104469273743;0.00391061452514;0.0173184357542;0.0;0.0888268156425;0.0;0.0;0.0117318435754;0.0201117318436;0.261452513966
2;2000.0;11.0;0.0;0.0421686746988;0.044578313253;0.0614457831325;0.0204819277108;0.0;0.089156626506;0.0;0.132530120482;0.166265060241;0.0;0.0373493975904;0.0;0.185542168675;0.0;0.0;0.0;0.0301204819277;0.190361445783
3;2000.0;12.0;0.0;0.0483271375465;0.0198265179678;0.0557620817844;0.135687732342;0.134448574969;0.0;0.0;0.0687732342007;0.0;0.00991325898389;0.0;0.0;0.122676579926;0.0254027261462;0.0272614622057;0.0204460966543;0.0254027261462;0.306071871128
131;2001.0;1.0;0.0;0.0454091088316;0.0167248061782;0.0548028702792;0.168719636525;0.0871723899821;0.0321115796302;0.00486539085307;0.0869328383135;0.0296788842037;0.0221476771728;0.00502757054817;0.0;0.0910171741665;0.030054590449;0.0204422782971;0.0241705021059;0.0127013630731;0.268021339391
4;2001.0;2.0;0.0;0.0424910801168;0.0136230943886;0.0538436587739;0.201751540707;0.0398962049951;0.0642231592605;0.00973078170613;0.105092442426;0.0593577684074;0.0343820953617;0.0100551410963;0.0;0.0593577684074;0.0347064547519;0.0136230943886;0.0278949075576;0.0;0.229970807655
5;2001.0;3.0;0.0;0.0113717128643;0.0131485429993;0.129353233831;0.143567874911;0.0607675906183;0.0351812366738;0.0;0.0621890547264;0.0536602700782;0.0;0.0;0.0248756218905;0.0785358919687;0.0156361051883;0.0302061122957;0.0291400142146;0.0170575692964;0.295309168443
6;2001.0;4.0;0.0;0.0691489361702;0.0322695035461;0.112411347518;0.145035460993;0.063475177305;0.0280141843972;0.0418439716312;0.0687943262411;0.0248226950355;0.0;0.0;0.0127659574468;0.0978723404255;0.0120567375887;0.0;0.0145390070922;0.0372340425532;0.239716312057
7;2001.0;5.0;0.00957264957265;0.0;0.0188034188034;0.0454700854701;0.150769230769;0.0564102564103;0.0745299145299;0.0;0.104957264957;0.054358974359;0.0208547008547;0.0208547008547;0.0;0.124102564103;0.0126495726496;0.0;0.0280341880342;0.0263247863248;0.252307692308
8;2001.0;6.0;0.04;0.0672;0.0133333333333;0.0554666666667;0.1616;0.0389333333333;0.0;0.0;0.0368;0.0768;0.0149333333333;0.0122666666667;0.0362666666667;0.128;0.0656;0.0213333333333;0.0256;0.016;0.189866666667
132;2001.0;7.0;0.0270588235294;0.0608549019608;0.0139215686275;0.052831372549;0.12648627451;0.0320156862745;0.0143137254902;0.00627450980392;0.0791843137255;0.0703607843137;0.0125647058824;0.0108392156863;0.0181333333333;0.121647058824;0.061231372549;0.0187058823529;0.0226039215686;0.0170196078431;0.233952941176
9;2001.0;9.0;0.0141176470588;0.0545098039216;0.0145098039216;0.0501960784314;0.0913725490196;0.0250980392157;0.0286274509804;0.0125490196078;0.121568627451;0.0639215686275;0.0101960784314;0.00941176470588;0.0;0.115294117647;0.056862745098;0.0160784313725;0.0196078431373;0.0180392156863;0.278039215686
10;2001.0;10.0;0.0;0.0204724409449;0.0146981627297;0.11811023622;0.0734908136483;0.0845144356955;0.0194225721785;0.00682414698163;0.200524934383;0.0619422572178;0.0;0.0514435695538;0.0;0.0209973753281;0.0146981627297;0.0;0.0656167979003;0.0173228346457;0.229921259843
11;2001.0;11.0;0.0372670807453;0.0;0.139307897072;0.0;0.112688553682;0.0;0.0621118012422;0.0;0.18544809228;0.0;0.00976042590949;0.0;0.0;0.10115350488;0.0;0.0;0.039041703638;0.0;0.31322094055
12;2001.0;12.0;0.0;0.0153761669412;0.0433827567271;0.0;0.132894014278;0.0400878638111;0.0;0.0137287204833;0.158704008786;0.0939044481054;0.00494233937397;0.0208676551345;0.0175727622186;0.148819330038;0.00384404173531;0.0;0.0422844590884;0.0230642504119;0.240527182867
133;2002.0;1.0;0.0263748597082;0.0134868114916;0.0491885725274;0.0366629255518;0.109095716454;0.0271520501248;0.00841750841751;0.00686436024163;0.106475087072;0.095399661389;0.00247116968699;0.0469096973765;0.013275718932;0.108640865917;0.0131453654243;0.0;0.0355455217253;0.0283671420409;0.272526965919
13;2002.0;2.0;0.0527497194164;0.0115974560419;0.0549943883277;0.0733258511036;0.0852974186308;0.0142162364385;0.016835016835;0.0;0.0542461653573;0.0968948746727;0.0;0.0729517396184;0.00897867564534;0.0684624017957;0.0224466891134;0.0;0.0288065843621;0.03367003367;0.304526748971
14;2002.0;3.0;0.0;0.0;0.0471406491499;0.0166151468315;0.106646058733;0.0146831530139;0.0710973724884;0.0112055641422;0.166537867079;0.00734157650696;0.0131375579598;0.0513910355487;0.0;0.1885625966;0.0189335394127;0.0;0.0189335394127;0.0378670788253;0.229907264297
15;2002.0;4.0;0.0257258360897;0.0102903344359;0.0143329658214;0.082322675487;0.108048511577;0.00330760749724;0.0227857405366;0.0;0.167952958471;0.0889378904814;0.0183755972069;0.00661521499449;0.0242557883131;0.105843439912;0.0716648291069;0.0;0.0297684674752;0.0;0.219772142595
16;2002.0;5.0;0.0;0.022607022607;0.003848003848;0.022126022126;0.126022126022;0.0;0.039923039923;0.012506012506;0.119769119769;0.0505050505051;0.017316017316;0.0711880711881;0.018759018759;0.033189033189;0.0;0.0;0.0707070707071;0.0;0.391534391534
17;2002.0;6.0;0.0152671755725;0.0202290076336;0.0145038167939;0.200763358779;0.108778625954;0.0148854961832;0.0419847328244;0.0137404580153;0.0267175572519;0.031679389313;0.0;0.0812977099237;0.0221374045802;0.0984732824427;0.0278625954198;0.0259541984733;0.025572519084;0.0;0.230152671756
134;2002.0;7.0;0.00763358778626;0.0188532851111;0.020005805421;0.157065666163;0.111309483029;0.0074427480916;0.0420126781741;0.00687022900763;0.0773644470246;0.0604783342408;0.0059045819556;0.0550560349335;0.0195713003061;0.11064429356;0.0290470275163;0.0129770992366;0.012786259542;0.00354274917336;0.241434389728
18;2002.0;9.0;0.0;0.0174775625886;0.0255077940482;0.113367973547;0.113840340104;0.0;0.0420406235239;0.0;0.128011336797;0.0892772791686;0.0118091639112;0.0288143599433;0.0170051960321;0.122815304676;0.0302314596127;0.0;0.0;0.00708549834672;0.2527161077
19;2002.0;10.0;0.118546055349;0.028087567121;0.0380008261049;0.0718711276332;0.06361007848;0.0173482032218;0.0;0.0;0.157372986369;0.0;0.06361007848;0.0760016522098;0.0532837670384;0.062370921107;0.0322180916976;0.0;0.0313919867823;0.0;0.186286658406
20;2002.0;11.0;0.146788990826;0.0249017038008;0.0366972477064;0.0262123197903;0.0910878112713;0.0;0.0262123197903;0.0;0.200524246396;0.0;0.0275229357798;0.0301441677588;0.0;0.0904325032765;0.0740498034076;0.0209698558322;0.0;0.0;0.204456094364
21;2002.0;12.0;0.07824933687;0.105437665782;0.0;0.0;0.14124668435;0.0;0.0;0.0;0.0;0.0696286472149;0.0198938992042;0.00729442970822;0.0;0.0696286472149;0.0245358090186;0.0;0.0112732095491;0.0;0.472811671088
135;2003.0;1.0;0.0730437530284;0.0610964381221;0.0;0.0261544748672;0.119867314386;0.0;0.0071516142215;0.0;0.0619125459747;0.101426501785;0.0311974604317;0.0394052859616;0.0;0.0568821617766;0.0416916887349;0.0208418471598;0.0144228736752;0.0065386187168;0.338367421159
22;2003.0;2.0;0.0678381691868;0.0167552104618;0.0;0.0523089497344;0.0984879444217;0.0;0.014303228443;0.0;0.123825091949;0.133224356355;0.0425010216592;0.071516142215;0.0;0.0441356763384;0.0588475684512;0.0416836943196;0.0175725378014;0.0130772374336;0.20392317123
23;2003.0;3.0;0.0;0.00658165364048;0.0;0.0123406005759;0.0633484162896;0.0;0.0172768408063;0.0143973673385;0.128753599342;0.356643356643;0.0152200740436;0.0222130810366;0.0;0.141916906623;0.0205676676265;0.0143973673385;0.0357877416701;0.0;0.150555327026
24;2003.0;4.0;0.0138331102187;0.0;0.0169567157519;0.0258813029897;0.128514056225;0.0151717983043;0.0;0.0343596608657;0.0682730923695;0.381526104418;0.0151717983043;0.0058009817046;0.0334672021419;0.0673806336457;0.0156180276662;0.00937081659973;0.0;0.0120481927711;0.156626506024
25;2003.0;5.0;0.0944069813566;0.018643395478;0.0;0.0880602935343;0.0785402618009;0.0162633875446;0.0380801269338;0.0230067433558;0.0797302657676;0.0499801666006;0.0126933756446;0.044426814756;0.0138833796113;0.0174533915113;0.0376834589449;0.00872669575565;0.101547005157;0.0115033716779;0.26537088457
26;2003.0;6.0;0.00574712643678;0.0387931034483;0.0;0.0603448275862;0.0828544061303;0.0;0.0114942528736;0.0;0.0392720306513;0.102011494253;0.0;0.0186781609195;0.0;0.174329501916;0.0344827586207;0.0818965517241;0.051245210728;0.0445402298851;0.254310344828
136;2003.0;7.0;0.0103972089622;0.0731368784653;0.0139724849527;0.0658559907493;0.103551020778;0.0;0.0281031023611;0.0;0.0671424641649;0.096147621589;0.00214961306965;0.013853267906;0.00687876182287;0.121773521379;0.0187461084591;0.0544908382008;0.0340060963356;0.0411867099554;0.248608310849
