;Top_terms;Idx_docs;CIS_topic
0;[defensa, secretario general, seguridad, medios, salvamento marítimo, seguridad marítima, catástrofe, prestige, defensa nacional, comunidad internacional, buques, marina mercante, buque, marea negra, alto nivel];[54, 161, 180, 256, 275, 351, 541, 591, 602, 737, 878, 904, 928, 931, 1285, 1322, 1329, 1337, 1352, 1353, 1355, 1364, 1365, 1366, 1374, 1383, 1384, 1397, 1398, 1402, 1452, 1476, 1514, 1525, 1560, 1580, 1618, 1705, 1737, 1748, 1787, 1865, 1871, 1935, 1942, 1943, 1944, 1945, 1970, 1989, 2080, 2113, 2133, 2142, 2156, 2175, 2303, 2324, 2325, 2326, 2349, 2365, 2453, 2521, 2629, 2631, 2678, 2680, 2694, 2721, 2754, 2833, 2835, 2887, 2902, 2906, 2911, 3041, 3090, 3143, 3144, 3204, 3249, 3250, 3254, 3255, 3284, 3290, 3459, 3490, 3491, 3573, 3642, 3672, 3853, 3897, 3991, 4014, 4158, 4221, ...];fuerzas armadas
1;[españoles, ciudadanos españoles, ciudadanos, constitución europea, diputados pronuncian palabras, inmensa mayoría, estatuto, fuerzas políticas, política antiterrorista, parlamento, familias españolas, protestas, trabajadores españoles, martínez pujalte lópez, mayoría];[10, 52, 77, 120, 200, 335, 675, 739, 775, 784, 827, 894, 1019, 1021, 1070, 1084, 1148, 1310, 1381, 1396, 1442, 1521, 1722, 1741, 1785, 1951, 2000, 2003, 2029, 2056, 2069, 2082, 2087, 2092, 2108, 2168, 2214, 2397, 2444, 2496, 2558, 2598, 2600, 2700, 2730, 2755, 2834, 2854, 2855, 2880, 2882, 2895, 2933, 2935, 2960, 2962, 3027, 3032, 3055, 3065, 3073, 3085, 3123, 3138, 3202, 3246, 3264, 3265, 3285, 3325, 3405, 3406, 3478, 3514, 3561, 3655, 3666, 3751, 3760, 3822, 3924, 3925, 3941, 3979, 4009, 4080, 4097, 4113, 4123, 4124, 4126, 4132, 4316, 4324, 4352, 4408, 4513, 4685, 4695, 4723, ...];terrorismo
2;[código penal, partidos políticos, derechos humanos, corrupción política, derechos, derecho, delitos, corrupción, responsabilidades, tierras vascas, derechos fundamentales, responsabilidades políticas, responsabilidad penal, fiscalía general, detención ilegal];[29, 140, 279, 588, 599, 621, 883, 960, 1065, 1188, 1260, 1331, 1375, 1434, 1612, 1747, 1763, 1906, 1975, 2008, 2114, 2151, 2234, 2292, 2354, 2398, 2465, 2552, 2554, 2599, 2624, 2648, 2664, 2675, 2683, 2745, 2757, 2758, 2759, 2760, 2779, 2811, 2931, 2985, 3179, 3234, 3236, 3242, 3267, 3307, 3319, 3331, 3476, 3569, 3570, 3604, 3608, 3659, 3708, 3710, 3736, 3738, 3983, 4015, 4070, 4119, 4204, 4300, 4425, 4592, 4743, 4749, 4890, 4942, 4983, 5016, 5024, 5029, 5066, 5590, 5751, 5769, 5846, 5976, 6017, 6038, 6039, 6077, 6080, 6083, 6095, 6097, 6132, 6170, 6182, 6196, 6288, 6351, 6376, 6382, ...];corrupción
3;[familias españolas, familias, familias numerosas, precio, producto interior bruto, consumidores, suelo, presión fiscal, política fiscal, impuesto, actividad económica, personas físicas, renta disponible, impuestos, incremento];[5, 8, 26, 119, 127, 587, 682, 698, 781, 786, 797, 990, 1000, 1018, 1163, 1164, 1167, 1321, 1324, 1326, 1346, 1631, 1815, 1825, 1834, 1888, 1890, 1891, 1917, 1962, 1965, 2286, 3100, 3167, 3171, 3915, 4145, 4194, 4270, 4295, 4634, 5097, 5120, 5860, 5954, 6135, 6267, 6338, 6744, 6747, 6884, 6950, 6961, 6973];economía
4;[plan nacional, seguridad vial, seguridad, drogas, tráfico, consumo, víctimas mortales, accidentes, comisión mixta, importante, estrategia nacional, jóvenes, general, medidas necesarias, plan estratégico];[30, 150, 165, 223, 270, 393, 436, 658, 692, 712, 713, 846, 880, 890, 897, 1009, 1095, 1173, 1276, 1350, 1789, 1836, 1860, 2099, 2195, 2302, 2331, 2507, 2580, 2608, 2761, 2847, 2848, 2891, 2980, 3077, 3180, 3181, 3651, 3699, 4041, 4234, 5015, 5153, 6291, 6315, 6940];jóvenes
5;[desarrollo, cortes generales, cooperación internacional, competencias, cooperación, generalitat, desarrollo sostenible, estatuto, proyectos, desarrollo económico, cumbre, ayuda oficial, convergència i, usuarios, telefonía móvil];[40, 326, 338, 502, 516, 585, 630, 639, 802, 823, 824, 901, 919, 929, 984, 1190, 1218, 1223, 1418, 1487, 1642, 1993, 2065, 2146, 2194, 2223, 2237, 2277, 2279, 2356, 2364, 2468, 2488, 2494, 2514, 2541, 2597, 2646, 2658, 2706, 2788, 2813, 2825, 2881, 3006, 3020, 3170, 3243, 3252, 3352, 3462, 3475, 3496, 3544, 3597, 3698, 3780, 3803, 3931, 3942, 4084, 4154, 4169, 4172, 4254, 4340, 4379, 4395, 4404, 4503, 4507, 4815, 4939, 5373, 5395, 5418, 5594, 5614, 5616, 5654, 5663, 5719, 5803, 5887, 5941, 6010, 6184, 6207, 6248, 6371, 6471, 6670, 6891];internacional
6;[real decreto ley, orden ministerial, medidas urgentes, decreto ley, daños, seguridad social, orden, servicios, catástrofe, día, boletín oficial, responsabilidad política, santa cruz, cabo, salario mínimo];[28, 65, 116, 189, 190, 235, 540, 722, 912, 941, 942, 1566, 2011, 2071, 2515, 2555, 2705, 3190, 3783, 3891, 4527, 4543, 4996, 5010, 5088, 5091, 5350, 5405, 5705, 5752, 5965, 6018, 6048, 6261, 6549, 6551, 6798];corrupción
7;[crisis económica, crisis, campaña electoral, desarrollo económico, crecimiento económico, crecimiento, modelo económico, decisión, recuperación económica, economía sostenible, agentes sociales, servicios públicos, campaña, cooperación territorial, políticas sociales];[51, 301, 394, 411, 674, 735, 1013, 1034, 1192, 1902, 2084, 2436, 2525, 3176, 3455, 3463, 3824, 3830, 4004, 4089, 4125, 4216, 4306, 4319, 4329, 4362, 4364, 4383, 4413, 4474, 4476, 4509, 4511, 4602, 4640, 4667, 4678, 4700, 4907, 4934, 5048, 5067, 5069, 5155, 5256, 5284, 5311, 5432, 5473, 5514, 5516, 5548, 5560, 5564, 5575, 5576, 5604, 5671, 5685, 5812, 5889, 5914, 5942, 6015, 6096, 6114, 6119, 6300, 6344, 6424, 6438, 6452, 6561, 6587, 6604, 6610, 6620, 6628, 6645, 6692, 6715, 6757, 6778];economía
8;[sede parlamentaria, biblioteca nacional, subsidio agrario, personas físicas, reforma fiscal, decreto ley, gobiernos, intención, huelga general, clases medias, reforma constitucional, impuesto, renta, hacienda, gobiernos socialistas];[34, 261, 294, 442, 450, 495, 634, 734, 839, 949, 985, 991, 1020, 1040, 1054, 1078, 1087, 1099, 1100, 1109, 1119, 1204, 1238, 1263, 1265, 1334, 1424, 1559, 1573, 1899, 1916, 2105, 2295, 2345, 2409, 2446, 2456, 2470, 2500, 2538, 2549, 2574, 2703, 2704, 2803, 2839, 2914, 2994, 3154, 3175, 3534, 3547, 3959, 4026, 4044, 4058, 4582, 4642, 4653, 4711, 4759, 4854, 5056, 5100, 5114, 5130, 5297, 5313, 5325, 5358, 5542, 5554, 5644, 5662, 5777, 5794, 5924, 6003, 6062, 6159, 6201, 6208, 6307, 6433, 6573, 6588, 6591, 6611, 6708, 6720, 6818, 6861, 6914, 6952, 6990];economía
9;[presupuestos generales, forma, precios, inmensa mayoría, juana chaos, tarifa eléctrica, calidad, actividades, suministro eléctrico, media europea, partida presupuestaria, administración pública, tarifa, incremento, convenio];[82, 121, 153, 276, 383, 415, 479, 487, 507, 612, 812, 815, 857, 864, 1010, 1049, 1120, 1140, 1149, 1210, 1243, 1289, 1314, 1420, 1613, 1623, 1700, 1762, 1809, 1846, 1850, 1950, 1994, 2038, 2060, 2094, 2106, 2276, 2387, 2518, 2644, 2856, 2934, 3117, 3125, 3230, 3232, 3288, 3445, 3533, 3657, 3658, 3756, 3802, 4074, 4107, 4252, 4347, 4971, 5060, 5214, 5352, 5385, 5404, 5441, 6012, 6169, 6189, 6214, 6343, 6387, 6525, 6821];terrorismo
